whse,loc,name,desc,pronto_qty,item_count,track
060,1,LG667301,Leica GST120-9 Wooden Tripod,5,5,0
060,1,LG799207,Leica MMM03 GPS / Rotation Sensor Mast 1m,1,5,4
060,1,LG805282,Leica CA13 Radio Antenna 430-480MHz for CCD14 Satel Radio,15,5,-10
